用户说法,user_data
开始导航,"{""UserData"":{""serialNo"":""M1AT020102000007_2017060115004138"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""中山北路"",""lat"":""30.269757"",""tel"":"""",""area"":""杭州市下城区"",""lng"":""120.166875""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|西安大唐丽都公寓酒店|莲湖区北大街1号宏府嘉会广场座八楼8032室|详情下拉图片|西安楼北楼客栈|西安莲湖区北院门131号|西安回民街家庭宾馆|陕西省西安市莲湖区回民美食街中段北院门111号|西安巷声青年客栈钟楼回民街店|回民街西羊市35号|西安撒哈拉青年客栈回民街店|西安市莲湖区北院门180号""},""dataInfo"":{""end_poi"":{""poi"":""西安大唐丽都公寓酒店"",""lat"":""34.263246185"",""tel"":""029-86334055"",""area"":"""",""lng"":""108.946325183""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""西安大唐丽都公寓酒店"",""莲湖区北大街1号宏府嘉会广场座八楼8032室"",""详情下拉图片"",""西安楼北楼客栈"",""西安莲湖区北院门131号"",""西安回民街家庭宾馆"",""陕西省西安市莲湖区回民美食街中段北院门111号"",""西安巷声青年客栈钟楼回民街店"",""回民街西羊市35号"",""西安撒哈拉青年客栈回民街店"",""西安市莲湖区北院门180号""]}"
导航到萍乡步行街,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150044396"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""中山北路"",""lat"":""30.269757"",""tel"":"""",""area"":""杭州市下城区"",""lng"":""120.166875""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|路线偏好|距离最短|4小时59分钟|419公里|红绿灯11个|收费225元|时间最短|4小时58分钟|435公里|方案3|5小时7分钟|440公里|开始导航|设置车牌避开杭州市外地车限行|缩小图面|放大图面|仅供测试""},""dataInfo"":{""end_poi"":{""poi"":""西安大唐丽都公寓酒店"",""lat"":""34.263246185"",""tel"":""029-86334055"",""area"":"""",""lng"":""108.946325183""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""路线偏好"",""距离最短"",""4小时59分钟"",""419公里"",""红绿灯11个"",""收费225元"",""时间最短"",""4小时58分钟"",""435公里"",""方案3"",""5小时7分钟"",""440公里"",""开始导航"",""设置车牌避开杭州市外地车限行"",""缩小图面"",""放大图面"",""仅供测试""]}"
在文化路步行街,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150047712"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""中山北路"",""lat"":""30.269757"",""tel"":"""",""area"":""杭州市下城区"",""lng"":""120.166875""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|步行街|萍乡市莲花县|萍乡市安源区""},""dataInfo"":{""end_poi"":{""poi"":""步行街"",""lat"":""27.128229"",""tel"":"""",""area"":""萍乡市莲花县"",""lng"":""113.957708""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""步行街"",""萍乡市莲花县"",""萍乡市安源区""]}"
法西诺萍乡步行街旗舰店,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150051229"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""中山北路"",""lat"":""30.269757"",""tel"":"""",""area"":""杭州市下城区"",""lng"":""120.166875""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|铜鼓步行街|宜春市铜鼓县|金马步行街|宜春市丰城市|重桂路步行街|宜春市袁州区|朝阳路步行街|锦绣共和步行街|宜春市共和西路""},""dataInfo"":{""end_poi"":{""poi"":""铜鼓步行街"",""lat"":""28.518507"",""tel"":"""",""area"":""宜春市铜鼓县"",""lng"":""114.366458""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""铜鼓步行街"",""宜春市铜鼓县"",""金马步行街"",""宜春市丰城市"",""重桂路步行街"",""宜春市袁州区"",""朝阳路步行街"",""锦绣共和步行街"",""宜春市共和西路""]}"
导航开始,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150054831"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""中山北路"",""lat"":""30.269757"",""tel"":"""",""area"":""杭州市下城区"",""lng"":""120.166875""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|铜鼓步行街|宜春市铜鼓县|金马步行街|宜春市丰城市|重桂路步行街|宜春市袁州区|朝阳路步行街|锦绣共和步行街|宜春市共和西路""},""dataInfo"":{""end_poi"":{""poi"":""铜鼓步行街"",""lat"":""28.518507"",""tel"":"""",""area"":""宜春市铜鼓县"",""lng"":""114.366458""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""铜鼓步行街"",""宜春市铜鼓县"",""金马步行街"",""宜春市丰城市"",""重桂路步行街"",""宜春市袁州区"",""朝阳路步行街"",""锦绣共和步行街"",""宜春市共和西路""]}"
我想去武汉,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150058125"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""中山北路"",""lat"":""30.269757"",""tel"":"""",""area"":""杭州市下城区"",""lng"":""120.166875""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|路线偏好|距离最短|4小时59分钟|419公里|红绿灯11个|收费225元|时间最短|4小时58分钟|435公里|方案3|5小时7分钟|440公里|开始导航|设置车牌避开杭州市外地车限行|缩小图面|放大图面|仅供测试""},""dataInfo"":{""end_poi"":{""poi"":""铜鼓步行街"",""lat"":""28.518507"",""tel"":"""",""area"":""宜春市铜鼓县"",""lng"":""114.366458""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""路线偏好"",""距离最短"",""4小时59分钟"",""419公里"",""红绿灯11个"",""收费225元"",""时间最短"",""4小时58分钟"",""435公里"",""方案3"",""5小时7分钟"",""440公里"",""开始导航"",""设置车牌避开杭州市外地车限行"",""缩小图面"",""放大图面"",""仅供测试""]}"
就是沿江大道188号,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150101395"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""中山北路"",""lat"":""30.269757"",""tel"":"""",""area"":""杭州市下城区"",""lng"":""120.166875""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|武汉市|距离648|地址武汉市湖北省武汉市江岸区沿江大道188号""},""dataInfo"":{""end_poi"":{""poi"":""武汉市"",""lat"":""30.59275554"",""tel"":"""",""area"":""武汉市江岸区"",""lng"":""114.3052544""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""武汉市"",""距离648"",""地址武汉市湖北省武汉市江岸区沿江大道188号""]}"
选择收费站少的,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150104800"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""中山北路"",""lat"":""30.269757"",""tel"":"""",""area"":""杭州市下城区"",""lng"":""120.166875""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|武汉市|距离648|地址武汉市湖北省武汉市江岸区沿江大道188号""},""dataInfo"":{""end_poi"":{""poi"":""武汉市"",""lat"":""30.59275554"",""tel"":"""",""area"":""武汉市江岸区"",""lng"":""114.3052544""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""武汉市"",""距离648"",""地址武汉市湖北省武汉市江岸区沿江大道188号""]}"
导航,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150108245"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""中山北路"",""lat"":""30.269757"",""tel"":"""",""area"":""杭州市下城区"",""lng"":""120.166875""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|武汉市|距离648|地址武汉市湖北省武汉市江岸区沿江大道188号""},""dataInfo"":{""end_poi"":{""poi"":""武汉市"",""lat"":""30.59275554"",""tel"":"""",""area"":""武汉市江岸区"",""lng"":""114.3052544""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""武汉市"",""距离648"",""地址武汉市湖北省武汉市江岸区沿江大道188号""]}"
前往广西柳州,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150111488"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|加载中""},""dataInfo"":{""end_poi"":{""poi"":""武汉市"",""lat"":""30.59275554"",""tel"":"""",""area"":""武汉市江岸区"",""lng"":""114.3052544""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""武汉市"",""lat"":""30.59275554"",""tel"":"""",""area"":""武汉市江岸区"",""lng"":""114.3052544""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""加载中""]}"
去三中路66号,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150114867"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""武汉市"",""lat"":""30.59275554"",""tel"":"""",""area"":""武汉市江岸区"",""lng"":""114.3052544""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|柳州市|距离426|地址柳州市广西壮族自治区柳州市柳北区三中路66号""},""dataInfo"":{""end_poi"":{""poi"":""柳州市"",""lat"":""24.32543262"",""tel"":"""",""area"":""柳州市柳北区"",""lng"":""109.4155168""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""柳州市"",""距离426"",""地址柳州市广西壮族自治区柳州市柳北区三中路66号""]}"
选择沿途有加油站的路线,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150118142"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""武汉市"",""lat"":""30.59275554"",""tel"":"""",""area"":""武汉市江岸区"",""lng"":""114.3052544""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|柳州市|距离426|地址柳州市广西壮族自治区柳州市柳北区三中路66号""},""dataInfo"":{""end_poi"":{""poi"":""柳州市"",""lat"":""24.32543262"",""tel"":"""",""area"":""柳州市柳北区"",""lng"":""109.4155168""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""柳州市"",""距离426"",""地址柳州市广西壮族自治区柳州市柳北区三中路66号""]}"
导航吧,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150121394"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""武汉市"",""lat"":""30.59275554"",""tel"":"""",""area"":""武汉市江岸区"",""lng"":""114.3052544""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|路线偏好|距离最短|4小时26分钟|363公里|红绿灯30个|收费240元|方案2|5小时6分钟|429公里|红绿灯少|5小时11分钟|451公里|开始导航|设置车牌避开武汉市外地车限行|缩小图面|放大图面|仅供测试""},""dataInfo"":{""end_poi"":{""poi"":""柳州市"",""lat"":""24.32543262"",""tel"":"""",""area"":""柳州市柳北区"",""lng"":""109.4155168""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""路线偏好"",""距离最短"",""4小时26分钟"",""363公里"",""红绿灯30个"",""收费240元"",""方案2"",""5小时6分钟"",""429公里"",""红绿灯少"",""5小时11分钟"",""451公里"",""开始导航"",""设置车牌避开武汉市外地车限行"",""缩小图面"",""放大图面"",""仅供测试""]}"
我要去武城县托修场,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150124827"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""武汉市"",""lat"":""30.59275554"",""tel"":"""",""area"":""武汉市江岸区"",""lng"":""114.3052544""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|路线偏好|距离最短|4小时26分钟|363公里|红绿灯30个|收费240元|方案2|5小时6分钟|429公里|红绿灯少|5小时11分钟|451公里|开始导航|设置车牌避开武汉市外地车限行|缩小图面|放大图面|仅供测试""},""dataInfo"":{""end_poi"":{""poi"":""柳州市"",""lat"":""24.32543262"",""tel"":"""",""area"":""柳州市柳北区"",""lng"":""109.4155168""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""路线偏好"",""距离最短"",""4小时26分钟"",""363公里"",""红绿灯30个"",""收费240元"",""方案2"",""5小时6分钟"",""429公里"",""红绿灯少"",""5小时11分钟"",""451公里"",""开始导航"",""设置车牌避开武汉市外地车限行"",""缩小图面"",""放大图面"",""仅供测试""]}"
去棉厂,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150128164"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""武汉市"",""lat"":""30.59275554"",""tel"":"""",""area"":""武汉市江岸区"",""lng"":""114.3052544""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|路线偏好|距离最短|4小时26分钟|363公里|红绿灯30个|收费240元|方案2|5小时6分钟|429公里|红绿灯少|5小时11分钟|451公里|开始导航|设置车牌避开武汉市外地车限行|缩小图面|放大图面|仅供测试""},""dataInfo"":{""end_poi"":{""poi"":""柳州市"",""lat"":""24.32543262"",""tel"":"""",""area"":""柳州市柳北区"",""lng"":""109.4155168""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""路线偏好"",""距离最短"",""4小时26分钟"",""363公里"",""红绿灯30个"",""收费240元"",""方案2"",""5小时6分钟"",""429公里"",""红绿灯少"",""5小时11分钟"",""451公里"",""开始导航"",""设置车牌避开武汉市外地车限行"",""缩小图面"",""放大图面"",""仅供测试""]}"
选择武城县银山棉厂,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150131530"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""武汉市"",""lat"":""30.59275554"",""tel"":"""",""area"":""武汉市江岸区"",""lng"":""114.3052544""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|兰州拉面沧台路|青岛市李沧区|兰州拉面长春路|青岛市市北区|兰州拉面长沙路|兰州牛肉拉面长江二路|青岛市即墨市|青岛市烟青路2729""},""dataInfo"":{""end_poi"":{""poi"":""兰州拉面(沧台路)"",""lat"":""36.177813"",""tel"":"""",""area"":""青岛市李沧区"",""lng"":""120.383125""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""兰州拉面沧台路"",""青岛市李沧区"",""兰州拉面长春路"",""青岛市市北区"",""兰州拉面长沙路"",""兰州牛肉拉面长江二路"",""青岛市即墨市"",""青岛市烟青路2729""]}"
选择距离最近的,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150134876"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""武汉市"",""lat"":""30.59275554"",""tel"":"""",""area"":""武汉市江岸区"",""lng"":""114.3052544""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|武城县银山棉厂|德州市武城县|武城县银山棉厂南1门|武城县银山棉厂南2门""},""dataInfo"":{""end_poi"":{""poi"":""武城县银山棉厂"",""lat"":""37.202708"",""tel"":"""",""area"":""德州市武城县"",""lng"":""115.986875""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""武城县银山棉厂"",""德州市武城县"",""武城县银山棉厂南1门"",""武城县银山棉厂南2门""]}"
开始导航,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150138187"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""武汉市"",""lat"":""30.59275554"",""tel"":"""",""area"":""武汉市江岸区"",""lng"":""114.3052544""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|武城县银山棉厂南1门|距离407|地址德州市武城县""},""dataInfo"":{""end_poi"":{""poi"":""武城县银山棉厂(南1门)"",""lat"":""37.202153"",""tel"":"""",""area"":""德州市武城县"",""lng"":""115.987569""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""武城县银山棉厂南1门"",""距离407"",""地址德州市武城县""]}"
帮我导航到赣州市幺零五国道旁边的黄金家园,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601150141431"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|缩小图面|放大图面|仅供测试""},""dataInfo"":{""end_poi"":{""poi"":""武城县银山棉厂(南1门)"",""lat"":""37.202153"",""tel"":"""",""area"":""德州市武城县"",""lng"":""115.987569""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""武城县银山棉厂(南1门)"",""lat"":""37.202153"",""tel"":"""",""area"":""德州市武城县"",""lng"":""115.987569""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""缩小图面"",""放大图面"",""仅供测试""]}"
去中国黄金,"{""UserData"":{""serialNo"":""M1AT020102000007_201706011501448"",""mapU::navi"":{""sceneStatus"":""navigation"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""龙亭北路"",""lat"":""34.811806"",""tel"":"""",""area"":""开封市龙亭区"",""lng"":""114.348854""},""start_poi"":{},""reference_poi"":{}}}},""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""武城县银山棉厂(南1门)"",""lat"":""37.202153"",""tel"":"""",""area"":""德州市武城县"",""lng"":""115.987569""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|黄金|赣州市章贡区|大家园|赣州市信丰县|刘家园|赣州市宁都县|中家园|赣州市兴国县|自己家园|赣州市八境路1012号""},""dataInfo"":{""end_poi"":{""poi"":""黄金"",""lat"":""25.827326"",""tel"":"""",""area"":""赣州市章贡区"",""lng"":""114.911076""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""黄金"",""赣州市章贡区"",""大家园"",""赣州市信丰县"",""刘家园"",""赣州市宁都县"",""中家园"",""赣州市兴国县"",""自己家园"",""赣州市八境路1012号""]}"
